pdr_db,method,nmse,ci_low,ci_high,realizations,modulation,data_snr_db,effective_channel_method
0.0,conventional,0.09832832721062004,0.09064130902756005,0.10643624596740119,200,bpsk,15.0,fast
0.0,teacher,0.011989443809725345,0.01148078496218659,0.01253444672661135,200,bpsk,15.0,fast
0.0,student,0.014724207338877022,0.01406786385254236,0.0153829989064252,200,bpsk,15.0,fast
0.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
5.0,conventional,0.0814096933696419,0.07235750745562836,0.09058753965678625,200,bpsk,15.0,fast
5.0,teacher,0.004352047001593746,0.004148733906171401,0.0045714067885564875,200,bpsk,15.0,fast
5.0,student,0.005306773631600663,0.005080435569514521,0.005512052941514412,200,bpsk,15.0,fast
5.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
20.0,conventional,0.06054900656919927,0.05513096967805177,0.06705708441382739,200,bpsk,15.0,fast
20.0,teacher,0.0004231682121462654,0.0004020048334823514,0.0004490839949557994,200,bpsk,15.0,fast
20.0,student,0.0006564830108254683,0.0006250385896528314,0.0006904604505543829,200,bpsk,15.0,fast
20.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
25.0,conventional,0.06838788717985153,0.06038979597610887,0.07710743958386593,200,bpsk,15.0,fast
25.0,teacher,0.00032411348533059934,0.00030739121924852955,0.0003487006081286381,200,bpsk,15.0,fast
25.0,student,0.0005701820065587526,0.0005364523479420313,0.0006039341649611742,200,bpsk,15.0,fast
25.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
30.0,conventional,0.06040494007989764,0.05579895673238207,0.06537239187560044,200,bpsk,15.0,fast
30.0,teacher,0.00027892771759070457,0.00026514413392033016,0.00029252235068997833,200,bpsk,15.0,fast
30.0,student,0.0005171424611035036,0.00048730690295997194,0.0005453058276125376,200,bpsk,15.0,fast
30.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
35.0,conventional,0.06200218341313302,0.05676644342159853,0.06764782556099817,200,bpsk,15.0,fast
35.0,teacher,0.0002666622496326454,0.0002483481965919054,0.0002854127476693975,200,bpsk,15.0,fast
35.0,student,0.0004902905273047509,0.00045717525235158975,0.0005259240994328138,200,bpsk,15.0,fast
35.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
