pdr_db,method,nmse,ci_low,ci_high,realizations,modulation,data_snr_db,effective_channel_method
0.0,conventional,0.09832832721062004,0.0908127456549555,0.10680569214210844,200,bpsk,15.0,fast
0.0,teacher,0.011989443809725345,0.01144149481144268,0.012492065001337323,200,bpsk,15.0,fast
0.0,student,0.019406129173003137,0.01866829950839747,0.0202237561828224,200,bpsk,15.0,fast
0.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
5.0,conventional,0.0814096933696419,0.07301011109398678,0.09102279425668529,200,bpsk,15.0,fast
5.0,teacher,0.004352047001593746,0.0041691514958947665,0.004551423174096271,200,bpsk,15.0,fast
5.0,student,0.006929895522771404,0.006648547757853522,0.007209957147628301,200,bpsk,15.0,fast
5.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
20.0,conventional,0.06054900656919927,0.0543559916249942,0.06752055924700107,200,bpsk,15.0,fast
20.0,teacher,0.0004231682121462654,0.0004019643369574624,0.00045277294179504673,200,bpsk,15.0,fast
20.0,student,0.0011913196160458028,0.0011326544267576538,0.0012528204519985594,200,bpsk,15.0,fast
20.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
25.0,conventional,0.06838788717985153,0.06146972627204377,0.07686447268584742,200,bpsk,15.0,fast
25.0,teacher,0.00032411348533059934,0.00030678675923445555,0.0003429481407674757,200,bpsk,15.0,fast
25.0,student,0.001105200946039986,0.0010273868871736342,0.0011887934928490722,200,bpsk,15.0,fast
25.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
30.0,conventional,0.06040494007989764,0.055017282414133666,0.06474928819318303,200,bpsk,15.0,fast
30.0,teacher,0.00027892771759070457,0.00026473841463121064,0.00029391643764938637,200,bpsk,15.0,fast
30.0,student,0.0010003824401064775,0.0009418195044927416,0.001064772013862239,200,bpsk,15.0,fast
30.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
35.0,conventional,0.06200218341313302,0.05662794484291225,0.06802002289611847,200,bpsk,15.0,fast
35.0,teacher,0.0002666622496326454,0.0002498521029647236,0.0002851601893853513,200,bpsk,15.0,fast
35.0,student,0.0009755437138665001,0.0009198332232954271,0.00104634811032156,200,bpsk,15.0,fast
35.0,perfect,0.0,0.0,0.0,200,bpsk,15.0,fast
