data_snr_db,method,nmse,ci_low,ci_high,realizations,modulation,pdr_db,effective_channel_method
10.0,conventional,0.07432526116259396,0.06697765773697757,0.08317989253927953,200,bpsk,5.0,fast
10.0,teacher,0.004901495269150473,0.004674488523407489,0.005142168658669107,200,bpsk,5.0,fast
10.0,student,0.007890276339603588,0.007540854619874153,0.008209425165667198,200,bpsk,5.0,fast
10.0,perfect,0.0,0.0,0.0,200,bpsk,5.0,fast
15.0,conventional,0.07487380216363818,0.06784645291790366,0.08179476596845779,200,bpsk,5.0,fast
15.0,teacher,0.004351680293912068,0.0041787561770470355,0.004559612713797833,200,bpsk,5.0,fast
15.0,student,0.007175348231103271,0.006836836038681213,0.007591229505313095,200,bpsk,5.0,fast
15.0,perfect,0.0,0.0,0.0,200,bpsk,5.0,fast
20.0,conventional,0.07835844543762505,0.07133013161900453,0.08578795096464455,200,bpsk,5.0,fast
20.0,teacher,0.004226750761736184,0.004054220478530625,0.004411898692545946,200,bpsk,5.0,fast
20.0,student,0.006854061289923266,0.006601536370144458,0.007099380365980323,200,bpsk,5.0,fast
20.0,perfect,0.0,0.0,0.0,200,bpsk,5.0,fast
